line_index,source_sheet,source_row,portfolio,product_id,product_type,underlying,pricing_status_hint,product_class,model_name,status,price,delta,gamma,vega,theta,rho,dv01,standard_error,ci_low,ci_high,maturity_years,strike,maturity_bucket,strike_bucket,spot_used,rate_used,volatility_used,position_sign,numerical_greeks_used,numerical_greeks_error,error_message,scenario
0,swaps,1,default,IRS-1,Interest Rate Swap,<NA>,ok,InterestRateSwap,DiscountingModel,priced,7218.140645746273,0.0,0.0,0.0,0.0,835059.2530557333,-83.50592530557333,,,,0.840520191649555,,6M-1Y,NA,100.0,0.03,0.2,1.0,0.0,,,central
1,swaps,2,default,IRS-2,Interest Rate Swap,<NA>,ok,InterestRateSwap,DiscountingModel,priced,217018.88716397798,0.0,0.0,0.0,0.0,5661158.100775501,-566.1158100775501,,,,1.839835728952772,,1Y-2Y,NA,100.0,0.03,0.2,1.0,0.0,,,central
2,swaps,3,default,IRS-3,Interest Rate Swap,<NA>,ok,InterestRateSwap,DiscountingModel,priced,45755.43154932443,0.0,0.0,0.0,0.0,955039.6470652777,-95.50396470652777,,,,1.839835728952772,,1Y-2Y,NA,100.0,0.03,0.2,1.0,0.0,,,central
3,swaps,4,default,BASIS-4,Basis Swap,<NA>,ok,BasisSwap,DiscountingModel,priced,1.6298145055770874e-09,0.0,0.0,0.0,0.0,3.725290298461914e-05,-3.725290298461914e-09,,,,6.422997946611909,,5Y-10Y,NA,100.0,0.03,0.2,1.0,0.0,,,central
4,swaps,5,default,IRS-5,Interest Rate Swap,<NA>,ok,InterestRateSwap,DiscountingModel,priced,1239989.9694680218,0.0,0.0,0.0,0.0,93633815.48421457,-9363.381548421457,,,,24.840520191649556,,10Y+,NA,100.0,0.03,0.2,1.0,0.0,,,central
5,options,2,default,CS-2,Call Spread,AAPL,nan,CallSpread,StaticReplicationModel,priced,2078346.7353131445,57884.587706755345,-153.10525739096784,404243.25187663734,-2675194.159944177,1088468.7082428767,0.0,,,,0.08487337440109514,260.0,0-6M,atm,257.46,0.03,0.391844626771674,1.0,0.0,,,central
6,options,4,default,BF-4,Butterfly,AAPL,nan,Butterfly,StaticReplicationModel,priced,219815.11609876435,12900.281873348053,274.42082009975,-3067793.625325488,5399531.919915864,1044444.7610312104,0.0,,,,0.33675564681724846,226.66666666666666,0-6M,low,257.46,0.03,0.391844626771674,1.0,0.0,,,central
7,options,5,default,CALL-BARRIER-5,Call,AAPL,nan,BarrierOption,BarrierModel,priced,194275.77901827986,-529.0026932597227,-403.52120250346866,-1927572.3843847604,550917.5923984324,0.0,0.0,,,,0.33675564681724846,260.0,0-6M,atm,257.46,0.03,0.391844626771674,1.0,1.0,,,central
8,options,1,default,CS-1,Call Spread,AAPL,nan,CallSpread,StaticReplicationModel,priced,989821.5208816964,17873.591799719456,-60.689072253768245,313186.8069205135,-605004.6916966364,1216332.241304616,0.0,,,,0.33675564681724846,270.0,0-6M,atm,257.46,0.03,0.391844626771674,1.0,0.0,,,central
9,options,6,default,PUT-BARRIER-6,Put,AAPL,nan,BarrierOption,BarrierModel,priced,1096892.0122759407,-48829.38820811946,1514.08258036814,6673980.685363793,-1518320.3811235551,0.0,0.0,,,,0.33675564681724846,260.0,0-6M,atm,257.46,0.03,0.391844626771674,1.0,1.0,,,central
10,options,3,default,PS-3,Put Spread,AAPL,nan,PutSpread,StaticReplicationModel,priced,-1236198.325434424,12324.07983666247,-75.34228357763851,-1799782.2709634341,729109.1694719926,2595396.3664312987,-0.0,,,,0.5886379192334018,215.0,6M-1Y,low,257.46,0.03,0.391844626771674,-1.0,0.0,,,central
